NO,Y2019-1,Y2019-2,Y2018-1,Y2018-2,Y2018-3,Y2017-1,Y2017-2,Y2017-3,Y2016-1,Y2016-2,Y2016-3,Y2015-1,Y2015-2,Y2015-3,Y2014-1,Y2014-2,Y2014-3,Y2013-1,Y2013-2,Y2013-3,Y2012-1,Y2012-2,Y2012-3,Y2011-1,Y2011-2,Y2011-3,Y2010-1,Y2010-2,Y2010-3
37,tt0837563,tt8351646,tt5726086,tt6301452,tt7795376,tt5273624,tt5157326,tt6228890,tt4651520,tt4169250,tt5287914,tt3682448,tt3492838,tt4418280,tt2203939,tt2723240,tt3526098,tt1535109,tt2249278,tt2798680,tt1276104,tt1964624,tt2334739,tt1412386,tt1693843,tt2012624,tt1320261,tt1474889,tt1772760
38,tt7343762,tt8354344,tt2557478,tt6301784,tt7796428,tt5580390,tt5157682,tt6229030,tt2660888,tt4171876,tt5288552,tt2888046,tt3494676,tt4419390,tt3331846,tt2724236,tt3526120,tt2226417,tt2250234,tt2799596,tt2109184,tt1964634,tt2336104,tt1411238,tt1693989,tt2013243,tt1568921,tt1475400,tt1772864
39,tt6472976,tt8354582,tt6182908,tt6312802,tt7797658,tt4877122,tt5159408,tt6229100,tt2543164,tt4172146,tt5289520,tt3460252,tt3495030,tt4419596,tt2278388,tt2724304,tt3526408,tt1860353,tt2250564,tt2801746,tt1907668,tt1964777,tt2336259,tt1411704,tt1694542,tt2014260,tt0955308,tt1475531,tt1772958
40,tt6095472,tt8358220,tt6921996,tt6315438,tt7799386,tt1959563,tt5159414,tt6229252,tt4160708,tt4173614,tt5290524,tt2381941,tt3495644,tt4421344,tt0829150,tt2725962,tt3526462,tt1327773,tt2251227,tt2802496,tt1599348,tt1964795,tt2336361,tt1204342,tt1695136,tt2014270,tt1302067,tt1475549,tt1772984
41,tt8364368,tt8359816,tt3766354,tt6317236,tt7800040,tt5027774,tt5160954,tt6229852,tt3300542,tt4176928,tt5290620,tt3152624,tt3495988,tt4421920,tt1267297,tt2726270,tt3526482,tt2024432,tt2251458,tt2803940,tt1706593,tt1965057,tt2336960,tt1655442,tt1695405,tt2014389,tt0840361,tt1477171,tt1772989
42,tt1298644,tt8359822,tt7959026,tt6318712,tt7807026,tt2316204,tt5161018,tt6230134,tt3062096,tt4177822,tt5291232,tt1596363,tt3496372,tt4422796,tt2713180,tt2727028,tt3526500,tt3063516,tt2251648,tt2804026,tt1645170,tt1965065,tt2337448,tt1622979,tt1695763,tt2014392,tt1477076,tt1477835,tt1773000
43,tt3387520,tt8359840,tt6133466,tt6318714,tt7807064,tt4765284,tt5161058,tt6230488,tt4786282,tt4179950,tt5291862,tt2268016,tt3499458,tt4424316,tt1234721,tt2727322,tt3526538,tt2023587,tt2252304,tt2805974,tt1596365,tt1965115,tt2337981,tt0945513,tt1695765,tt2015315,tt0964517,tt1478965,tt1773015
44,tt7547410,tt8359842,tt4575576,tt6318728,tt7816386,tt2398241,tt5162658,tt6234016,tt6044910,tt4181052,tt5294966,tt3195644,tt3500068,tt4425152,tt0455944,tt2728458,tt3527394,tt1229340,tt2252680,tt2806362,tt1800741,tt1966465,tt2337993,tt1634122,tt1695793,tt2015332,tt1279935,tt1479269,tt1773039
45,tt1560220,tt8360266,tt3778644,tt6320482,tt7816392,tt4425200,tt5164446,tt6235414,tt2119532,tt4181270,tt5295358,tt1051904,tt3500544,tt4425402,tt2369135,tt2728984,tt3527550,tt1091191,tt2252760,tt2806386,tt1560985,tt1966505,tt2338337,tt1632708,tt1695831,tt2015340,tt1038919,tt1479388,tt1773042
46,tt7616798,tt8361196,tt7961060,tt6324614,tt7817024,tt6294822,tt5167966,tt6237548,tt2567026,tt4182064,tt5295802,tt3567288,tt3500724,tt4426248,tt2800240,tt2731254,tt3528284,tt1815862,tt2254364,tt2806788,tt1981677,tt1966571,tt2338355,tt1568911,tt1696181,tt2016296,tt1591095,tt1479398,tt1773083
